,condition,time
L01.L01,resistant,0h
L03.L03,resistant,0h
L21.L21,resistant,2h
L23.L23,resistant,2h
L41.L41,resistant,4h
L42.L42,resistant,4h
L61.L61,resistant,6h
L63.L63,resistant,6h
L82.L82,resistant,8h
L83.L83,resistant,8h
W01.W01,susceptible,0h
W02.W02,susceptible,0h
W22.W22,susceptible,2h
W23.W23,susceptible,2h
W41.W41,susceptible,4h
W42.W42,susceptible,4h
W61.W61,susceptible,6h
W63.W63,susceptible,6h
W81.W81,susceptible,8h
W82.W82,susceptible,8h
